m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","javascript","162"
"2008-08-01 00:00:00","c","85"
"2008-08-01 00:00:00","python","124"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","c#","511"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","ruby","72"
"2008-08-01 00:00:00","php","161"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","delphi","105"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","javascript","640"
"2008-09-01 00:00:00","java","1136"
"2008-09-01 00:00:00","c#","1649"
"2008-09-01 00:00:00","perl","131"
"2008-09-01 00:00:00","python","541"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","c++","754"
"2008-09-01 00:00:00","php","482"
"2008-09-01 00:00:00","ruby","290"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1153"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c#","1988"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","php","616"
"2008-10-01 00:00:00","python","510"
"2008-10-01 00:00:00","javascript","725"
"2008-10-01 00:00:00","c++","811"
"2008-10-01 00:00:00","ruby","249"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c#","1730"
"2008-11-01 00:00:00","python","452"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","java","958"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","c++","735"
"2008-11-01 00:00:00","javascript","580"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","504"
"2008-11-01 00:00:00","ruby","160"
"2008-11-01 00:00:00","r","1"
"2008-12-01 00:00:00","javascript","627"
"2008-12-01 00:00:00","assembly","18"
"2008-12-01 00:00:00","c","187"
"2008-12-01 00:00:00","c#","1597"
"2008-12-01 00:00:00","java","830"
"2008-12-01 00:00:00","php","481"
"2008-12-01 00:00:00","c++","633"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","python","441"
"2008-12-01 00:00:00","perl","134"
"2008-12-01 00:00:00","ruby","161"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","php","636"
"2009-01-01 00:00:00","java","1150"
"2009-01-01 00:00:00","c#","2378"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c++","853"
"2009-01-01 00:00:00","c","321"
"2009-01-01 00:00:00","ruby","209"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","swift","1"
"2009-01-01 00:00:00","javascript","792"
"2009-01-01 00:00:00","python","631"
"2009-02-01 00:00:00","javascript","947"
"2009-02-01 00:00:00","perl","165"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2600"
"2009-02-01 00:00:00","assembly","37"
"2009-02-01 00:00:00","java","1208"
"2009-02-01 00:00:00","c++","844"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","delphi","168"
"2009-02-01 00:00:00","swift","1"
"2009-02-01 00:00:00","php","768"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","javascript","1005"
"2009-03-01 00:00:00","c#","3162"
"2009-03-01 00:00:00","c","431"
"2009-03-01 00:00:00","java","1440"
"2009-03-01 00:00:00","php","902"
"2009-03-01 00:00:00","c++","1053"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","perl","139"
"2009-03-01 00:00:00","delphi","162"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","python","765"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","49"
"2009-04-01 00:00:00","javascript","1051"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","java","1534"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","c++","1020"
"2009-04-01 00:00:00","c#","3317"
"2009-04-01 00:00:00","c","458"
"2009-04-01 00:00:00","php","967"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","ruby","358"
"2009-04-01 00:00:00","r","12"
"2009-05-01 00:00:00","javascript","1433"
"2009-05-01 00:00:00","assembly","47"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","c","481"
"2009-05-01 00:00:00","c#","3559"
"2009-05-01 00:00:00","python","999"
"2009-05-01 00:00:00","ruby","402"
"2009-05-01 00:00:00","java","1818"
"2009-05-01 00:00:00","c++","1217"
"2009-05-01 00:00:00","perl","197"
"2009-05-01 00:00:00","php","1184"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","c","502"
"2009-06-01 00:00:00","java","2115"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","delphi","222"
"2009-06-01 00:00:00","c++","1253"
"2009-06-01 00:00:00","javascript","1557"
"2009-06-01 00:00:00","perl","247"
"2009-06-01 00:00:00","c#","3883"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","php","1580"
"2009-06-01 00:00:00","ruby","433"
"2009-06-01 00:00:00","python","1045"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","c#","4411"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c++","1467"
"2009-07-01 00:00:00","python","1160"
"2009-07-01 00:00:00","java","2262"
"2009-07-01 00:00:00","perl","259"
"2009-07-01 00:00:00","c","542"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","javascript","1752"
"2009-07-01 00:00:00","r","51"
"2009-07-01 00:00:00","ruby","500"
"2009-07-01 00:00:00","php","2033"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","javascript","1858"
"2009-08-01 00:00:00","perl","252"
"2009-08-01 00:00:00","java","2193"
"2009-08-01 00:00:00","php","2187"
"2009-08-01 00:00:00","c#","4457"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","python","1139"
"2009-08-01 00:00:00","c++","1401"
"2009-08-01 00:00:00","ruby","485"
"2009-08-01 00:00:00","swift","2"
"2009-09-01 00:00:00","java","2264"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","c#","4354"
"2009-09-01 00:00:00","c","574"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","php","2269"
"2009-09-01 00:00:00","c++","1465"
"2009-09-01 00:00:00","perl","250"
"2009-09-01 00:00:00","python","1166"
"2009-09-01 00:00:00","delphi","252"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","swift","2"
"2009-10-01 00:00:00","assembly","74"
"2009-10-01 00:00:00","delphi","255"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","c++","1689"
"2009-10-01 00:00:00","java","2505"
"2009-10-01 00:00:00","c#","4724"
"2009-10-01 00:00:00","c","776"
"2009-10-01 00:00:00","python","1421"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2363"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","python","1558"
"2009-11-01 00:00:00","c#","4682"
"2009-11-01 00:00:00","c","967"
"2009-11-01 00:00:00","javascript","2226"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c++","1757"
"2009-11-01 00:00:00","go","66"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","perl","323"
"2009-11-01 00:00:00","php","2690"
"2009-11-01 00:00:00","java","2763"
"2009-11-01 00:00:00","swift","2"
"2009-11-01 00:00:00","r","94"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","php","2830"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","java","2690"
"2009-12-01 00:00:00","python","1589"
"2009-12-01 00:00:00","c#","4491"
"2009-12-01 00:00:00","perl","262"
"2009-12-01 00:00:00","c","851"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","javascript","2303"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","c++","1658"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","javascript","2620"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c++","2001"
"2010-01-01 00:00:00","python","1949"
"2010-01-01 00:00:00","c#","5114"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","c","982"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","java","3728"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","ruby","686"
"2010-01-01 00:00:00","php","3439"
"2010-01-01 00:00:00","r","94"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1036"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","c#","5103"
"2010-02-01 00:00:00","perl","348"
"2010-02-01 00:00:00","java","3578"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","javascript","2641"
"2010-02-01 00:00:00","php","3167"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","c++","2278"
"2010-02-01 00:00:00","python","1865"
"2010-02-01 00:00:00","swift","2"
"2010-02-01 00:00:00","ruby","688"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","javascript","2984"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","python","2072"
"2010-03-01 00:00:00","delphi","318"
"2010-03-01 00:00:00","c++","2441"
"2010-03-01 00:00:00","c","1116"
"2010-03-01 00:00:00","c#","6039"
"2010-03-01 00:00:00","java","4447"
"2010-03-01 00:00:00","php","3754"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","ruby","696"
"2010-03-01 00:00:00","r","139"
"2010-04-01 00:00:00","javascript","3004"
"2010-04-01 00:00:00","c","1186"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","python","1816"
"2010-04-01 00:00:00","c#","5786"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","php","3651"
"2010-04-01 00:00:00","ruby","753"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3888"
"2010-04-01 00:00:00","swift","2"
"2010-04-01 00:00:00","c++","2490"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","perl","365"
"2010-05-01 00:00:00","java","4177"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c++","2421"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","javascript","3227"
"2010-05-01 00:00:00","perl","287"
"2010-05-01 00:00:00","c","1180"
"2010-05-01 00:00:00","c#","5935"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","php","3996"
"2010-05-01 00:00:00","ruby","776"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","swift","1"
"2010-05-01 00:00:00","python","2010"
"2010-06-01 00:00:00","assembly","91"
"2010-06-01 00:00:00","java","4290"
"2010-06-01 00:00:00","c#","6151"
"2010-06-01 00:00:00","javascript","3469"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","c","1155"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","c++","2827"
"2010-06-01 00:00:00","php","4099"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","ruby","853"
"2010-06-01 00:00:00","python","2209"
"2010-06-01 00:00:00","swift","2"
"2010-06-01 00:00:00","r","178"
"2010-07-01 00:00:00","c","1288"
"2010-07-01 00:00:00","c#","6687"
"2010-07-01 00:00:00","php","4608"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","java","4522"
"2010-07-01 00:00:00","javascript","3878"
"2010-07-01 00:00:00","assembly","98"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","c++","2689"
"2010-07-01 00:00:00","perl","437"
"2010-07-01 00:00:00","python","2596"
"2010-07-01 00:00:00","swift","1"
"2010-07-01 00:00:00","ruby","912"
"2010-08-01 00:00:00","javascript","4001"
"2010-08-01 00:00:00","java","4711"
"2010-08-01 00:00:00","c#","6964"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","php","5146"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c++","2638"
"2010-08-01 00:00:00","c","1371"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","perl","548"
"2010-08-01 00:00:00","swift","2"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","python","2494"
"2010-08-01 00:00:00","delphi","354"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","javascript","4001"
"2010-09-01 00:00:00","java","4722"
"2010-09-01 00:00:00","python","2252"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","c++","2743"
"2010-09-01 00:00:00","c","1381"
"2010-09-01 00:00:00","c#","6407"
"2010-09-01 00:00:00","perl","461"
"2010-09-01 00:00:00","php","4702"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","ruby","938"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","javascript","4117"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","c","1444"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c#","6743"
"2010-10-01 00:00:00","python","2671"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","perl","500"
"2010-10-01 00:00:00","php","4521"
"2010-10-01 00:00:00","java","5031"
"2010-10-01 00:00:00","c++","2934"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","926"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","java","5604"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1677"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","javascript","4546"
"2010-11-01 00:00:00","perl","466"
"2010-11-01 00:00:00","c++","3374"
"2010-11-01 00:00:00","c#","7324"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","php","5122"
"2010-11-01 00:00:00","ruby","930"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","swift","1"
"2010-11-01 00:00:00","python","2610"
"2010-12-01 00:00:00","c#","7114"
"2010-12-01 00:00:00","c++","3139"
"2010-12-01 00:00:00","python","2484"
"2010-12-01 00:00:00","assembly","124"
"2010-12-01 00:00:00","java","5680"
"2010-12-01 00:00:00","c","1469"
"2010-12-01 00:00:00","go","18"
